id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1547429,à¸šà¹‰à¸²à¸™à¹ƒà¸à¸¥à¹‰à¸ªà¸¸à¸§à¸£à¸£à¸“à¸ à¸¹à¸¡à¸´ à¸•à¸£à¸‡à¸‚à¹‰à¸²à¸¡à¹à¸­à¸£à¹Œà¸žà¸­à¸£à¹Œà¸•à¸¥à¸´à¹‰à¸‡à¸šà¹‰à¸²à¸™à¸—à¸±à¸šà¸Šà¹‰à¸²à¸‡,8243802,Prare,,Saphan Sung,13.73667,100.69141,Entire home/apt,,1,0,,,1,0,0,
1560067,Central Bangkok closed by Sathorn,7667490,Egg,,Sathon,13.72053,100.53854,Entire home/apt,,180,85,16-04-2016,0.58,1,0,0,
1571204,Old Spice 3 Vintage Elegance in the Heart of BKK,8214044,Evan From Sanctuary House,,Sathon,13.72052,100.54682,Entire home/apt,1094,1,325,11-09-2025,2.24,9,363,15,
1585084,Luxury 3 Bedrooms Suite @BTS Phrompong,8444643,Kiattisak,,Vadhana,13.73616,100.57224,Entire home/apt,11411,100,46,26-02-2019,0.33,67,364,0,
1589614,à¹‡Home with club house,6364900,Somkid,,Pra Wet,13.72352,100.6536,Entire home/apt,,1,0,,,1,0,0,
1621954,Baan Nampetch Hostel (Standard Double room),8626494,Paula,,Phra Nakhon,13.76052,100.50066,Private room,1340,1,249,15-04-2025,1.72,9,364,6,
1629978,iSanook Eco Studio 7,8663142,ISanook,,Bang Rak,13.73244,100.52204,Private room,,30,23,23-12-2024,0.16,49,266,1,
1630813,iSanook Suite Deluxe 45 sqm 1,8663142,ISanook,,Bang Rak,13.73232,100.52336,Private room,,30,12,30-11-2024,0.08,49,363,1,
1630920,iSanook Studio 32 sqm 6,8663142,ISanook,,Bang Rak,13.73241,100.52168,Private room,,30,23,11-01-2018,0.16,49,326,0,
1631106,iSanook Family Suite Deluxe 67 sqm 1,8663142,ISanook,,Bang Rak,13.73195,100.52318,Private room,,30,34,24-01-2023,0.24,49,363,0,
1638413,Cool Studio 1 walk 5 min to BTS. S. Taksin,2129668,Wimonpak,,Sathon,13.71637,100.51592,Entire home/apt,890,180,230,28-10-2024,1.58,42,270,1,
1645379,Heart of Bangkok,8191888,Nan,,Vadhana,13.73944,100.55863,Private room,,30,7,15-03-2016,0.05,5,364,0,
1645397,Private Apartment,8191888,Nan,,Vadhana,13.73972,100.55779,Private room,1325,30,20,23-06-2016,0.14,5,323,0,
1647608,iSanook Suite 34 sqm 1,8663142,ISanook,,Bang Rak,13.73288,100.52328,Private room,,30,16,24-02-2023,0.11,49,294,0,
1657411,Near Suvarnabhumi Airport,8362130,Luckana,,Lat Krabang,13.719,100.73172,Entire home/apt,1225,1,63,28-02-2020,0.44,2,364,0,
1661636,Lumphini 10 City Center | Private Bathroom | A/C,1927968,Ivan,,Sathon,13.720548,100.54697,Entire home/apt,623,1,241,16-09-2025,1.66,63,334,26,
1665776,1 Bedroom with Twin Beds- 2 guests,8807437,Oillie,,Bangkok Yai,13.74286,100.47575,Entire home/apt,2267,1,4,28-03-2018,0.03,9,363,0,
1665970,1 Bedroom with a Double Bed- 2 guests,8807437,Oillie,,Bangkok Yai,13.74162,100.47567,Entire home/apt,2267,1,4,03-01-2025,0.1,9,363,1,
1666361,2 Bedrooms with two double beds for 4 people,8807437,Oillie,,Bangkok Yai,13.74308,100.47737,Entire home/apt,3259,1,1,10-01-2016,0.01,9,363,0,
1669918,Condominium 190 m2,8841731,Sylvain Et Takae,,Khlong Toei,13.72387,100.57261,Private room,,729,20,05-01-2019,0.14,1,263,0,
1685582,SKY 9 Urban Oasis: Tranquil Retreat in Central BKK,1927968,Ivan,,Sathon,13.720785,100.547241,Entire home/apt,879,1,219,29-08-2025,1.5,63,346,17,
1704776,NEw Pro!!  Bungalow Bkk Centre,2129668,Wimonpak,,Bang Kho laen,13.69757,100.5288,Entire home/apt,940,250,18,03-08-2017,0.13,42,365,0,
1765918,2BR apt in a cozy neighborhood,9279712,Jing,,Phaya Thai,13.77486,100.54272,Entire home/apt,1610,30,152,05-02-2025,1.06,3,57,6,
1791481,Nice and Quiet condo near BTS Onnut,9399478,Piyakorn,,Khlong Toei,13.70719,100.59936,Entire home/apt,1578,30,76,31-05-2019,0.57,1,302,0,
1793000,The Duplex - Asoke- Luxury 92sqm,9407280,Timo,,Vadhana,13.74668,100.56137,Entire home/apt,6106,25,292,22-02-2024,2.02,1,332,0,
1808600,Contemporary Modern Duplex-Thong Lo,9478184,Shine,,Khlong Toei,13.72097,100.57823,Entire home/apt,1817,60,83,12-09-2018,0.58,1,90,0,
1816517,1 BR condominium center BKK +NETFLIX+55SQM,8492603,Sudhichai,,Ratchathewi,13.75351,100.53308,Entire home/apt,1100,30,80,25-04-2025,0.57,1,195,3,
1817644,Baan Nampetch Hostel for 4 guest.,8626494,Paula,,Phra Nakhon,13.76044,100.50095,Private room,1723,1,25,10-01-2025,0.19,9,364,1,
1821471,Baan Nampetch Hostel (Basic Double no window),8626494,Paula,,Phra Nakhon,13.76222,100.50212,Hotel room,1245,1,160,19-11-2024,1.11,9,365,4,
