id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
722291,"1 bedroom apartment, Center Bangkok",1810415,Egidio,,Sathon,13.72109,100.53915,Entire home/apt,841,300,35,17-06-2022,0.24,2,269,0,
722660,"Bangkok View, Luxurious 1 bedroom,Sathorn.",3734436,Chok,,Sathon,13.70644,100.52544,Entire home/apt,1128,21,0,,,2,365,0,
723070,"One Bed apartmentm,The Seed Mingle condo, Bangkok",3734436,Chok,,Sathon,13.72075,100.53993,Entire home/apt,1450,21,2,05-12-2018,0.02,2,364,0,
729015,NEW River Condo Center BTS temples,3785867,Julia,,Khlong San,13.72214,100.51068,Entire home/apt,,2,36,30-04-2018,0.23,2,179,0,
742693,Nice 1 Bed 5 mins walk Thonglor BTS,3888806,Nulek,,Khlong Toei,13.72062,100.58019,Entire home/apt,1386,28,3,22-05-2025,0.14,1,363,2,
758483,Thong Lo Living: Stylish/Spacious 90 sqm Apartment,1774390,Add,,Vadhana,13.73595,100.58375,Entire home/apt,2000,3,66,03-08-2025,0.42,2,300,3,
768019,"Luxury 3BR+ Pool Villa for 6-10, great location",2975807,Ingo,,Vadhana,13.73668,100.56693,Entire home/apt,12000,28,4,30-04-2023,0.03,1,269,0,
788043,Thonburi  APT @Sky train,4070562,Ben,,Khlong San,13.72101,100.50378,Entire home/apt,720,30,99,22-08-2025,0.64,3,83,3,
808870,Chambre privÃ©e en condominium,4255924,Arnaud,,Khlong Toei,13.73684,100.55488,Private room,,7,0,,,1,0,0,
811670,Lovely quaint Bangkok home,4268095,Sutida,,Din Daeng,13.78499,100.56958,Entire home/apt,2031,3,31,05-05-2025,0.2,1,95,1,
818612,Budget price but 5 star value near new skytrain,822284,Rae And Charlie,,Bang Sue,13.83148,100.52151,Entire home/apt,1300,3,18,23-08-2025,0.12,7,152,6,
820395,Cosy cottage in garden setting near new skytrain,822284,Rae And Charlie,,Bang Sue,13.83026,100.52082,Entire home/apt,950,7,15,01-04-2025,0.1,7,362,1,
822214,Jade House overlooking Pool near new skytrain,822284,Rae And Charlie,,Bang Sue,13.83148,100.52307,Entire home/apt,1500,3,37,18-06-2025,0.24,7,145,7,
837342,Studio with breakfast à¹ Bangkok,3533863,Sarasinee,,Phaya Thai,13.78832,100.56145,Private room,,3,0,,,4,0,0,
